Date,Open,High,Low,Close,Adj Close,Volume
"Oct 16, 2025","22,020.92","22,049.50","21,902.94","21,991.36","21,991.36",-
"Oct 15, 2025","22,027.80","22,125.90","22,012.80","22,021.00","22,021.00","334,302,300"
"Oct 14, 2025","22,064.70","22,064.70","21,898.80","22,028.20","22,028.20","392,784,700"
"Oct 13, 2025","21,801.90","22,083.70","21,801.00","22,064.30","22,064.30","306,799,500"
"Oct 10, 2025","22,052.90","22,066.50","21,798.10","21,801.80","21,801.80","307,537,900"
"Oct 9, 2025","22,042.10","22,098.40","21,992.20","22,052.80","22,052.80","341,643,400"
"Oct 8, 2025","22,002.90","22,053.80","21,948.70","22,041.80","22,041.80","329,681,300"
"Oct 7, 2025","22,099.80","22,125.30","22,002.80","22,002.80","22,002.80","280,732,600"
"Oct 6, 2025","22,197.70","22,203.10","22,071.10","22,099.70","22,099.70","255,293,000"
"Oct 3, 2025","22,047.30","22,234.70","22,047.30","22,197.60","22,197.60","314,883,400"
"Oct 2, 2025","22,049.70","22,135.50","21,979.40","22,047.30","22,047.30","348,673,500"
"Oct 1, 2025","22,015.50","22,049.70","21,916.40","22,049.70","22,049.70","494,429,200"
"Sep 30, 2025","21,866.50","22,024.30","21,815.40","22,015.60","22,015.60","387,801,700"
"Sep 29, 2025","21,681.40","21,866.50","21,675.30","21,866.50","21,866.50","346,437,800"
"Sep 26, 2025","21,587.70","21,709.90","21,580.60","21,681.50","21,681.50","291,939,200"
"Sep 25, 2025","21,690.50","21,690.50","21,548.40","21,587.80","21,587.80","362,184,600"
"Sep 24, 2025","21,695.50","21,735.90","21,610.70","21,690.50","21,690.50","277,561,100"
"Sep 23, 2025","21,596.90","21,794.30","21,596.80","21,695.40","21,695.40","323,548,900"
"Sep 22, 2025","21,589.90","21,641.30","21,498.50","21,596.90","21,596.90","245,239,000"
"Sep 19, 2025","21,726.00","21,770.60","21,584.90","21,589.90","21,589.90","622,892,200"
"Sep 18, 2025","21,619.80","21,758.00","21,603.10","21,726.00","21,726.00","326,247,100"
"Sep 17, 2025","21,491.90","21,663.20","21,489.00","21,619.80","21,619.80","273,008,400"
"Sep 16, 2025","21,646.60","21,731.50","21,491.90","21,491.90","21,491.90","298,899,800"
"Sep 15, 2025","21,625.40","21,763.90","21,595.10","21,646.60","21,646.60","287,244,900"
"Sep 12, 2025","21,693.80","21,749.40","21,618.90","21,625.40","21,625.40","261,993,600"
"Sep 11, 2025","21,534.10","21,705.60","21,534.10","21,693.80","21,693.80","272,299,700"
"Sep 10, 2025","21,596.70","21,660.30","21,534.10","21,534.10","21,534.10","401,035,800"
"Sep 9, 2025","21,684.50","21,760.20","21,566.20","21,596.70","21,596.70","249,484,900"
"Sep 8, 2025","21,575.50","21,723.80","21,570.50","21,684.50","21,684.50","229,342,500"
"Sep 5, 2025","21,474.70","21,654.40","21,472.80","21,575.50","21,575.50","223,153,900"
"Sep 4, 2025","21,313.10","21,498.20","21,273.00","21,474.70","21,474.70","288,476,400"
"Sep 3, 2025","21,162.90","21,323.60","21,118.40","21,313.10","21,313.10","324,731,900"
"Sep 2, 2025","21,633.70","21,663.30","21,149.20","21,162.90","21,162.90","454,357,900"
"Sep 1, 2025","21,605.70","21,676.40","21,605.70","21,633.70","21,633.70","197,266,900"
"Aug 29, 2025","21,744.40","21,775.00","21,605.70","21,605.70","21,605.70","266,753,600"
"Aug 28, 2025","21,805.00","21,828.40","21,678.20","21,744.40","21,744.40","245,563,300"
"Aug 27, 2025","21,861.20","21,926.00","21,747.50","21,805.00","21,805.00","239,889,400"
"Aug 26, 2025","22,077.20","22,084.20","21,840.90","21,861.20","21,861.20","324,944,300"
"Aug 22, 2025","21,817.80","22,079.50","21,809.20","22,077.20","22,077.20","405,476,000"
"Aug 21, 2025","21,885.90","21,898.90","21,746.20","21,817.80","21,817.80","226,728,900"
"Aug 20, 2025","21,833.30","21,885.90","21,725.10","21,885.90","21,885.90","245,416,500"
"Aug 19, 2025","21,749.60","21,876.90","21,749.50","21,833.30","21,833.30","249,155,300"
"Aug 18, 2025","21,758.20","21,826.40","21,718.60","21,749.60","21,749.60","345,227,600"
"Aug 15, 2025","21,801.70","21,895.60","21,739.10","21,758.20","21,758.20","422,122,800"
"Aug 14, 2025","21,851.60","21,856.30","21,754.20","21,801.70","21,801.70","326,677,700"
"Aug 13, 2025","21,842.70","21,939.40","21,835.70","21,851.60","21,851.60","353,638,000"
"Aug 12, 2025","21,889.50","21,979.60","21,815.10","21,842.70","21,842.70","261,610,400"
"Aug 11, 2025","21,958.60","21,968.20","21,868.30","21,889.50","21,889.50","222,547,300"
"Aug 8, 2025","21,938.10","21,958.60","21,879.40","21,958.60","21,958.60","333,497,500"
"Aug 7, 2025","21,925.90","22,004.60","21,898.00","21,938.10","21,938.10","401,151,100"
"Aug 6, 2025","21,901.70","21,983.30","21,873.90","21,925.90","21,925.90","337,153,100"
"Aug 5, 2025","21,859.50","21,988.30","21,858.40","21,901.70","21,901.70","309,605,100"
"Aug 4, 2025","21,699.30","21,867.60","21,693.80","21,859.50","21,859.50","366,617,400"
"Aug 1, 2025","21,962.80","21,966.90","21,626.10","21,699.30","21,699.30","370,000,700"
"Jul 31, 2025","21,776.60","22,032.10","21,749.50","21,962.80","21,962.80","414,552,300"
